2023-12-04 14:27:45,489 INFO    StreamThr :5320 [internal.py:wandb_internal():86] W&B internal server running at pid: 5320, started at: 2023-12-04 14:27:45.489605
2023-12-04 14:27:45,505 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status
2023-12-04 14:27:45,587 INFO    WriterThread:5320 [datastore.py:open_for_write():85] open: c:\Users\ajmo276\Documents\GitHub\CTLiverSegmentation\wandb\run-20231204_142745-o8oui4th\run-o8oui4th.wandb
2023-12-04 14:27:45,589 DEBUG   SenderThread:5320 [sender.py:send():379] send: header
2023-12-04 14:27:45,590 DEBUG   SenderThread:5320 [sender.py:send():379] send: run
2023-12-04 14:27:45,923 INFO    SenderThread:5320 [dir_watcher.py:__init__():211] watching files in: c:\Users\ajmo276\Documents\GitHub\CTLiverSegmentation\wandb\run-20231204_142745-o8oui4th\files
2023-12-04 14:27:45,923 INFO    SenderThread:5320 [sender.py:_start_run_threads():1121] run started: o8oui4th with start time 1701718065.556106
2023-12-04 14:27:45,923 DEBUG   SenderThread:5320 [sender.py:send_request():406] send_request: summary_record
2023-12-04 14:27:45,923 INFO    SenderThread:5320 [sender.py:_save_file():1375] saving file wandb-summary.json with policy end
2023-12-04 14:27:45,939 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: check_version
2023-12-04 14:27:45,939 DEBUG   SenderThread:5320 [sender.py:send_request():406] send_request: check_version
2023-12-04 14:27:46,139 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: run_start
2023-12-04 14:27:46,172 DEBUG   HandlerThread:5320 [system_info.py:__init__():31] System info init
2023-12-04 14:27:46,172 DEBUG   HandlerThread:5320 [system_info.py:__init__():46] System info init done
2023-12-04 14:27:46,172 INFO    HandlerThread:5320 [system_monitor.py:start():181] Starting system monitor
2023-12-04 14:27:46,172 INFO    SystemMonitor:5320 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-12-04 14:27:46,172 INFO    HandlerThread:5320 [system_monitor.py:probe():201] Collecting system info
2023-12-04 14:27:46,172 INFO    SystemMonitor:5320 [interfaces.py:start():190] Started cpu monitoring
2023-12-04 14:27:46,172 INFO    SystemMonitor:5320 [interfaces.py:start():190] Started disk monitoring
2023-12-04 14:27:46,172 INFO    SystemMonitor:5320 [interfaces.py:start():190] Started gpu monitoring
2023-12-04 14:27:46,172 INFO    SystemMonitor:5320 [interfaces.py:start():190] Started memory monitoring
2023-12-04 14:27:46,189 INFO    SystemMonitor:5320 [interfaces.py:start():190] Started network monitoring
2023-12-04 14:27:46,189 DEBUG   HandlerThread:5320 [system_info.py:probe():195] Probing system
2023-12-04 14:27:46,189 DEBUG   HandlerThread:5320 [system_info.py:probe():240] Probing system done
2023-12-04 14:27:46,189 DEBUG   HandlerThread:5320 [system_monitor.py:probe():210] {'os': 'Windows-10-10.0.19045-SP0', 'python': '3.11.4', 'heartbeatAt': '2023-12-04T19:27:46.189561', 'startedAt': '2023-12-04T19:27:45.451370', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '<python with no main file>', 'host': 'magpie', 'username': 'ajmo276', 'executable': 'c:\\Users\\ajmo276\\anaconda3\\python.exe', 'cpu_count': 4, 'cpu_count_logical': 8, 'cpu_freq': {'current': 2794.0, 'min': 0.0, 'max': 2794.0}, 'cpu_freq_per_core': [{'current': 2794.0, 'min': 0.0, 'max': 2794.0}], 'disk': {'total': 297.5901527404785, 'used': 249.3583526611328}, 'gpu': 'NVIDIA GeForce GTX 1070', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce GTX 1070', 'memory_total': 8589934592}], 'memory': {'total': 23.997638702392578}}
2023-12-04 14:27:46,189 INFO    HandlerThread:5320 [system_monitor.py:probe():211] Finished collecting system info
2023-12-04 14:27:46,189 INFO    HandlerThread:5320 [system_monitor.py:probe():214] Publishing system info
2023-12-04 14:27:46,189 DEBUG   HandlerThread:5320 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-12-04 14:27:46,189 DEBUG   HandlerThread:5320 [system_info.py:_save_pip():67] Saving pip packages done
2023-12-04 14:27:46,189 DEBUG   HandlerThread:5320 [system_info.py:_save_conda():74] Saving list of conda packages installed into the current environment
2023-12-04 14:27:46,942 INFO    Thread-12 :5320 [dir_watcher.py:_on_file_created():271] file/dir created: c:\Users\ajmo276\Documents\GitHub\CTLiverSegmentation\wandb\run-20231204_142745-o8oui4th\files\conda-environment.yaml
2023-12-04 14:27:46,943 INFO    Thread-12 :5320 [dir_watcher.py:_on_file_created():271] file/dir created: c:\Users\ajmo276\Documents\GitHub\CTLiverSegmentation\wandb\run-20231204_142745-o8oui4th\files\requirements.txt
2023-12-04 14:27:46,943 INFO    Thread-12 :5320 [dir_watcher.py:_on_file_created():271] file/dir created: c:\Users\ajmo276\Documents\GitHub\CTLiverSegmentation\wandb\run-20231204_142745-o8oui4th\files\wandb-summary.json
2023-12-04 14:28:26,175 DEBUG   HandlerThread:5320 [system_info.py:_save_conda():86] Saving conda packages done
